table,column,dtype,non_null_count,missing_pct,unique_count,unique_ratio_pct,avg_text_length,column_role,top_values
social_media_posts,campaign_name,str,232,71.43,4,1.72,14.29,low_cardinality_categorical,Summer of Safety=81 (34.9%) | Year-End Hope=72 (31.0%) | Back to School=57 (24.6%) | GivingTuesday=22 (9.5%)
social_media_posts,caption,str,812,0.0,728,89.66,137.32,high_cardinality_or_text,"We say 'thank you' but it never feels like enough. Your generosity is literally saving lives.=17 (45.9%) | After 8 months in our program, one of our girls graduated from the Bridge Program with top marks. From a child who couldn't read to a confident student - this is what your support makes possible. Share her story=6 (16.2%) | The statistics are heartbreaking. The solutions are hopeful. Read our latest blog: https://lighthouse.ph/donate?utm_source=facebook=5 (13.5%) | After 8 months in our program, one of our girls graduated from the Bridge Program with top marks. From a child who couldn't read to a confident student - this is what your support makes possible. Change a life today=5 (13.5%) | After 8 months in our program, one of our girls graduated from the Bridge Program with top marks. From a child who couldn't read to a confident student - this is what your support makes possible. Be the change=4 (10.8%)"
social_media_posts,content_topic,str,812,0.0,9,1.11,11.17,low_cardinality_categorical,Education=126 (23.6%) | SafehouseLife=122 (22.9%) | DonorImpact=113 (21.2%) | Health=89 (16.7%) | Gratitude=83 (15.6%)
social_media_posts,day_of_week,str,812,0.0,7,0.86,7.14,low_cardinality_categorical,Tuesday=136 (22.6%) | Friday=127 (21.1%) | Saturday=116 (19.3%) | Thursday=113 (18.8%) | Wednesday=110 (18.3%)
social_media_posts,hashtags,str,664,18.23,404,60.84,34.14,high_cardinality_or_text,#SafeHaven=20 (23.5%) | #GiveHope=17 (20.0%) | #DonateNow=17 (20.0%) | #MakeADifference=16 (18.8%) | #SpreadTheWord=15 (17.6%)
social_media_posts,media_type,str,812,0.0,5,0.62,5.02,low_cardinality_categorical,Photo=227 (28.0%) | Video=212 (26.1%) | Text=154 (19.0%) | Reel=121 (14.9%) | Carousel=98 (12.1%)
social_media_posts,platform,str,812,0.0,7,0.86,7.75,low_cardinality_categorical,Facebook=199 (30.1%) | Instagram=164 (24.8%) | Twitter=117 (17.7%) | WhatsApp=93 (14.0%) | TikTok=89 (13.4%)
social_media_posts,platform_post_id,str,812,0.0,812,100.0,19.0,high_cardinality_or_text,wa_4293211912553134=1 (20.0%) | ig_5129900136072862=1 (20.0%) | li_2326736034499294=1 (20.0%) | ig_4154485528046983=1 (20.0%) | tk_7166643297225195=1 (20.0%)
social_media_posts,post_type,str,812,0.0,6,0.74,12.12,low_cardinality_categorical,ImpactStory=203 (28.1%) | Campaign=156 (21.6%) | EventPromotion=131 (18.1%) | ThankYou=118 (16.3%) | EducationalContent=114 (15.8%)
social_media_posts,post_url,str,812,0.0,812,100.0,52.93,high_cardinality_or_text,https://whatsapp.com/channel/lighthouse_ph/4293211912553134=1 (20.0%) | https://instagram.com/p/sYhZp-0AvhH=1 (20.0%) | https://linkedin.com/feed/update/urn:li:activity:8868898240939584237=1 (20.0%) | https://instagram.com/p/1LSXA225Jpv=1 (20.0%) | https://tiktok.com/@lighthouse_ph/video/8171530469141229839=1 (20.0%)
social_media_posts,sentiment_tone,str,812,0.0,6,0.74,8.71,low_cardinality_categorical,Informative=162 (23.2%) | Hopeful=149 (21.3%) | Emotional=138 (19.7%) | Grateful=130 (18.6%) | Urgent=120 (17.2%)
supporters,acquisition_channel,str,60,0.0,6,10.0,9.23,low_cardinality_categorical,WordOfMouth=14 (25.9%) | SocialMedia=13 (24.1%) | Website=13 (24.1%) | Event=8 (14.8%) | Church=6 (11.1%)
supporters,country,str,60,0.0,4,6.67,9.55,low_cardinality_categorical,Philippines=48 (80.0%) | USA=10 (16.7%) | Singapore=1 (1.7%) | Canada=1 (1.7%)
supporters,display_name,str,60,0.0,60,100.0,10.28,high_cardinality_or_text,Mila Alvarez=1 (20.0%) | Aria Brown=1 (20.0%) | Noah Chen=1 (20.0%) | Liam Diaz=1 (20.0%) | Emma Evans=1 (20.0%)
supporters,email,str,60,0.0,60,100.0,22.87,high_cardinality_or_text,mila-alvarez@smart.com.ph=1 (20.0%) | aria-brown@pldt.net.ph=1 (20.0%) | noah-chen@globe.com.ph=1 (20.0%) | liam-diaz@globe.com.ph=1 (20.0%) | emma-evans@yahoo.com.ph=1 (20.0%)
supporters,first_name,str,56,6.67,56,100.0,3.95,high_cardinality_or_text,Mila=1 (20.0%) | Aria=1 (20.0%) | Noah=1 (20.0%) | Liam=1 (20.0%) | Emma=1 (20.0%)
supporters,last_name,str,56,6.67,55,98.21,5.09,high_cardinality_or_text,Xu=2 (33.3%) | Alvarez=1 (16.7%) | Brown=1 (16.7%) | Chen=1 (16.7%) | Diaz=1 (16.7%)
supporters,organization_name,str,4,93.33,4,100.0,13.75,low_cardinality_categorical,Hope Group=1 (25.0%) | Faith Partners=1 (25.0%) | Faith Alliance=1 (25.0%) | Bright Foundation=1 (25.0%)
supporters,phone,str,60,0.0,60,100.0,16.13,high_cardinality_or_text,+63 997 578 1887=1 (20.0%) | +63 927 354 4139=1 (20.0%) | +63 917 553 2604=1 (20.0%) | +63 945 516 8956=1 (20.0%) | +63 995 371 8454=1 (20.0%)
supporters,region,str,60,0.0,3,5.0,6.27,low_cardinality_categorical,Luzon=31 (51.7%) | Mindanao=18 (30.0%) | Visayas=11 (18.3%)
supporters,relationship_type,str,60,0.0,3,5.0,9.87,low_cardinality_categorical,Local=34 (56.7%) | PartnerOrganization=14 (23.3%) | International=12 (20.0%)
supporters,status,str,60,0.0,2,3.33,6.5,low_cardinality_categorical,Active=45 (75.0%) | Inactive=15 (25.0%)
supporters,supporter_type,str,60,0.0,6,10.0,13.77,low_cardinality_categorical,MonetaryDonor=17 (30.4%) | InKindDonor=15 (26.8%) | SocialMediaAdvocate=10 (17.9%) | Volunteer=8 (14.3%) | SkillsContributor=6 (10.7%)
