supporter_id,snapshot_month,created_at,supporter_type,relationship_type,region,country,status,acquisition_channel,donation_count_lifetime,monetary_donation_count_lifetime,non_monetary_donation_count_lifetime,recurring_donation_count_lifetime,total_monetary_amount_lifetime,total_resolved_value_lifetime,avg_monetary_amount_lifetime,donation_active_days_lifetime,donation_frequency_per_365d_lifetime,donation_recency_days,campaign_count_lifetime,channel_diversity_lifetime,donation_type_diversity_lifetime,social_referral_donation_count_lifetime,trailing_90d_donation_count,trailing_180d_donation_count,trailing_365d_donation_count,trailing_90d_total_resolved_value,trailing_180d_total_resolved_value,trailing_365d_total_resolved_value,trailing_365d_avg_monetary_amount,trailing_365d_recurring_donation_count,trailing_365d_social_referral_donation_count,trailing_365d_campaign_count,future_180d_donation_count,future_180d_recurring_donation_count,future_180d_total_resolved_value,observation_window_complete_180d,label_donor_upgrade_next_180d,label_recurring_conversion_next_180d,label_has_next_monetary_donation_180d,label_next_monetary_amount_180d
12,2023-03-01,2022-02-25,InKindDonor,PartnerOrganization,Mindanao,Philippines,Active,Website,1,0,1,0,0.0,19.07,0.0,0,365.0,35,0,1,1,0,1,1,1,19.07,19.07,19.07,0.0,0,0,0,2,0,2058.33,True,True,False,True,683.54
60,2023-04-01,2022-10-23,InKindDonor,Local,Visayas,Philippines,Inactive,Website,1,1,0,1,905.01,905.01,905.01,0,365.0,18,0,1,1,0,1,1,1,905.01,905.01,905.01,905.01,1,0,0,2,2,624.1,True,False,False,True,374.1
54,2023-04-01,2022-09-23,SkillsContributor,Local,Visayas,Philippines,Inactive,Event,4,1,3,4,721.33,1233.75,721.33,45,32.44444444444444,3,1,3,3,0,4,4,4,1233.75,1233.75,1233.75,721.33,4,0,1,7,7,6160.580000000001,True,True,False,True,789.3
52,2023-04-01,2022-09-13,InKindDonor,International,Mindanao,USA,Inactive,Church,1,0,1,1,0.0,506.18,0.0,0,365.0,103,0,1,1,0,0,1,1,0.0,506.18,506.18,0.0,1,0,0,2,2,815.12,True,True,False,True,803.96
45,2023-04-01,2022-08-09,MonetaryDonor,Local,Luzon,Philippines,Active,SocialMedia,1,1,0,1,392.09,392.09,392.09,0,365.0,21,1,1,1,0,1,1,1,392.09,392.09,392.09,392.09,1,0,1,3,3,1293.2,True,True,False,True,325.06
38,2023-04-01,2022-07-05,PartnerOrganization,PartnerOrganization,Mindanao,Philippines,Active,WordOfMouth,2,0,2,2,0.0,1066.55,0.0,59,12.372881355932204,51,0,2,1,0,1,2,2,453.66,1066.55,1066.55,0.0,2,0,0,1,1,1757.44,True,True,False,True,1757.44
37,2023-04-01,2022-06-30,InKindDonor,PartnerOrganization,Visayas,Philippines,Active,Website,1,0,1,0,0.0,5.92,0.0,0,365.0,87,0,1,1,0,1,1,1,5.92,5.92,5.92,0.0,0,0,0,1,0,502.9,True,True,False,True,502.9
29,2023-04-01,2022-05-21,Volunteer,PartnerOrganization,Luzon,Philippines,Active,Event,1,0,1,0,0.0,9.94,0.0,0,365.0,57,0,1,1,0,1,1,1,9.94,9.94,9.94,0.0,0,0,0,1,0,1000.5,True,True,False,True,1000.5
12,2023-04-01,2022-02-25,InKindDonor,PartnerOrganization,Mindanao,Philippines,Active,Website,2,1,1,0,683.54,702.61,683.54,61,11.967213114754099,4,0,2,2,0,2,2,2,702.61,702.61,702.61,683.54,0,0,0,1,0,1374.79,True,True,False,True,1374.79
7,2023-04-01,2022-01-31,MonetaryDonor,International,Mindanao,USA,Active,Event,1,0,1,1,0.0,9.67,0.0,0,365.0,93,0,1,1,0,0,1,1,0.0,9.67,9.67,0.0,1,0,0,2,2,1296.9,True,True,False,True,469.97
6,2023-04-01,2022-01-26,MonetaryDonor,International,Visayas,USA,Active,WordOfMouth,1,0,1,0,0.0,11.87,0.0,0,365.0,39,0,1,1,0,1,1,1,11.87,11.87,11.87,0.0,0,0,0,2,0,1434.7399999999998,True,True,False,True,395.88
3,2023-04-01,2022-01-11,MonetaryDonor,Local,Luzon,Philippines,Active,SocialMedia,2,1,1,2,250.0,550.0,250.0,46,15.869565217391305,21,0,2,2,0,2,2,2,550.0,550.0,550.0,250.0,2,0,0,2,2,469.63,True,False,False,True,460.56
2,2023-04-01,2022-01-06,Volunteer,Local,Mindanao,Philippines,Active,SocialMedia,1,1,0,0,2565.03,2565.03,2565.03,0,365.0,53,0,1,1,0,1,1,1,2565.03,2565.03,2565.03,2565.03,0,0,0,2,0,939.39,True,False,False,True,915.05
1,2023-04-01,2022-01-01,SocialMediaAdvocate,Local,Luzon,Philippines,Active,SocialMedia,1,1,0,1,774.61,774.61,774.61,0,365.0,36,0,1,1,1,1,1,1,774.61,774.61,774.61,774.61,1,1,0,4,4,1590.05,True,True,False,True,663.94
8,2023-04-01,2022-02-05,InKindDonor,Local,Mindanao,Philippines,Active,Church,1,1,0,1,1420.95,1420.95,1420.95,0,365.0,39,0,1,1,1,1,1,1,1420.95,1420.95,1420.95,1420.95,1,1,0,1,1,538.65,True,False,False,True,538.65
37,2023-05-01,2022-06-30,InKindDonor,PartnerOrganization,Visayas,Philippines,Active,Website,1,0,1,0,0.0,5.92,0.0,0,365.0,118,0,1,1,0,0,1,1,0.0,5.92,5.92,0.0,0,0,0,1,0,502.9,True,True,False,True,502.9
60,2023-05-01,2022-10-23,InKindDonor,Local,Visayas,Philippines,Inactive,Website,1,1,0,1,905.01,905.01,905.01,0,365.0,49,0,1,1,0,1,1,1,905.01,905.01,905.01,905.01,1,0,0,2,2,624.1,True,False,False,True,374.1
54,2023-05-01,2022-09-23,SkillsContributor,Local,Visayas,Philippines,Inactive,Event,5,2,3,5,1510.63,2023.05,755.315,77,23.7012987012987,2,1,3,3,0,5,5,5,2023.05,2023.05,2023.05,755.315,5,0,1,7,7,5792.390000000001,True,True,False,True,330.63
52,2023-05-01,2022-09-13,InKindDonor,International,Mindanao,USA,Inactive,Church,2,0,2,2,0.0,517.34,0.0,121,6.033057851239669,13,0,2,2,0,1,2,2,11.16,517.34,517.34,0.0,2,0,0,1,1,803.96,True,True,False,True,803.96
51,2023-05-01,2022-09-08,InKindDonor,Local,Luzon,Philippines,Inactive,WordOfMouth,1,1,0,0,1036.3,1036.3,1036.3,0,365.0,20,1,1,1,0,1,1,1,1036.3,1036.3,1036.3,1036.3,0,0,1,1,0,343.6,True,False,False,True,343.6
45,2023-05-01,2022-08-09,MonetaryDonor,Local,Luzon,Philippines,Active,SocialMedia,1,1,0,1,392.09,392.09,392.09,0,365.0,52,1,1,1,0,1,1,1,392.09,392.09,392.09,392.09,1,0,1,4,4,3025.65,True,True,False,True,325.06
29,2023-05-01,2022-05-21,Volunteer,PartnerOrganization,Luzon,Philippines,Active,Event,1,0,1,0,0.0,9.94,0.0,0,365.0,88,0,1,1,0,1,1,1,9.94,9.94,9.94,0.0,0,0,0,2,0,1300.5,True,True,False,True,1000.5
2,2023-05-01,2022-01-06,Volunteer,Local,Mindanao,Philippines,Active,SocialMedia,1,1,0,0,2565.03,2565.03,2565.03,0,365.0,84,0,1,1,0,1,1,1,2565.03,2565.03,2565.03,2565.03,0,0,0,2,0,939.39,True,False,False,True,915.05
12,2023-05-01,2022-02-25,InKindDonor,PartnerOrganization,Mindanao,Philippines,Active,Website,2,1,1,0,683.54,702.61,683.54,61,11.967213114754099,35,0,2,2,0,1,2,2,683.54,702.61,702.61,683.54,0,0,0,1,0,1374.79,True,True,False,True,1374.79
8,2023-05-01,2022-02-05,InKindDonor,Local,Mindanao,Philippines,Active,Church,1,1,0,1,1420.95,1420.95,1420.95,0,365.0,70,0,1,1,1,1,1,1,1420.95,1420.95,1420.95,1420.95,1,1,0,2,2,1304.94,True,False,False,True,538.65
6,2023-05-01,2022-01-26,MonetaryDonor,International,Visayas,USA,Active,WordOfMouth,2,1,1,0,395.88,407.75,395.88,44,16.59090909090909,26,1,2,2,1,2,2,2,407.75,407.75,407.75,395.88,0,1,1,1,0,1038.86,True,True,False,True,1038.86
4,2023-05-01,2022-01-16,MonetaryDonor,PartnerOrganization,Mindanao,Philippines,Active,Church,1,0,1,1,0.0,439.51,0.0,0,365.0,77,0,1,1,1,1,1,1,439.51,439.51,439.51,0.0,1,1,0,1,1,825.99,True,True,False,True,825.99
3,2023-05-01,2022-01-11,MonetaryDonor,Local,Luzon,Philippines,Active,SocialMedia,2,1,1,2,250.0,550.0,250.0,46,15.869565217391305,52,0,2,2,0,1,2,2,300.0,550.0,550.0,250.0,2,0,0,2,2,469.63,True,False,False,True,460.56
1,2023-05-01,2022-01-01,SocialMediaAdvocate,Local,Luzon,Philippines,Active,SocialMedia,1,1,0,1,774.61,774.61,774.61,0,365.0,67,0,1,1,1,1,1,1,774.61,774.61,774.61,774.61,1,1,0,4,4,1590.05,True,True,False,True,663.94
13,2023-05-01,2022-03-02,PartnerOrganization,Local,Luzon,Philippines,Active,PartnerReferral,1,0,1,0,0.0,11.39,0.0,0,365.0,110,0,1,1,0,0,1,1,0.0,11.39,11.39,0.0,0,0,0,1,0,1395.79,True,True,False,True,1395.79
60,2023-06-01,2022-10-23,InKindDonor,Local,Visayas,Philippines,Inactive,Website,1,1,0,1,905.01,905.01,905.01,0,365.0,79,0,1,1,0,1,1,1,905.01,905.01,905.01,905.01,1,0,0,2,2,624.1,True,False,False,True,374.1
54,2023-06-01,2022-09-23,SkillsContributor,Local,Visayas,Philippines,Inactive,Event,5,2,3,5,1510.63,2023.05,755.315,77,23.7012987012987,32,1,3,3,0,4,5,5,2020.3899999999999,2023.05,2023.05,755.315,5,0,1,8,8,5811.530000000001,True,True,False,True,330.63
51,2023-06-01,2022-09-08,InKindDonor,Local,Luzon,Philippines,Inactive,WordOfMouth,1,1,0,0,1036.3,1036.3,1036.3,0,365.0,50,1,1,1,0,1,1,1,1036.3,1036.3,1036.3,1036.3,0,0,1,1,0,343.6,True,False,False,True,343.6
45,2023-06-01,2022-08-09,MonetaryDonor,Local,Luzon,Philippines,Active,SocialMedia,1,1,0,1,392.09,392.09,392.09,0,365.0,82,1,1,1,0,1,1,1,392.09,392.09,392.09,392.09,1,0,1,4,4,3025.65,True,True,False,True,325.06
38,2023-06-01,2022-07-05,PartnerOrganization,PartnerOrganization,Mindanao,Philippines,Active,WordOfMouth,3,1,2,3,1757.44,2823.99,1757.44,131,8.358778625954198,40,1,3,2,1,1,3,3,1757.44,2823.99,2823.99,1757.44,3,1,1,1,1,1032.04,True,False,False,True,1032.04
35,2023-06-01,2022-06-20,SocialMediaAdvocate,International,Visayas,USA,Active,SocialMedia,1,0,1,0,0.0,315.92,0.0,0,365.0,18,1,1,1,0,1,1,1,315.92,315.92,315.92,0.0,0,0,1,3,0,3981.4,True,True,False,True,1569.56
31,2023-06-01,2022-05-31,MonetaryDonor,Local,Mindanao,Philippines,Active,Website,4,3,1,4,2429.9700000000003,3033.8399999999997,809.9900000000001,54,27.037037037037038,67,1,3,2,1,2,4,4,1625.6399999999999,3033.8399999999997,3033.8399999999997,809.9900000000001,4,1,1,2,2,1545.26,True,False,False,True,1014.15
29,2023-06-01,2022-05-21,Volunteer,PartnerOrganization,Luzon,Philippines,Active,Event,1,0,1,0,0.0,9.94,0.0,0,365.0,118,0,1,1,0,0,1,1,0.0,9.94,9.94,0.0,0,0,0,2,0,1300.5,True,True,False,True,1000.5
25,2023-06-01,2022-05-01,MonetaryDonor,Local,Mindanao,Philippines,Active,Church,1,0,1,1,0.0,519.42,0.0,0,365.0,28,0,1,1,0,1,1,1,519.42,519.42,519.42,0.0,1,0,0,3,3,2930.04,True,True,False,True,2104.72
27,2023-06-01,2022-05-11,MonetaryDonor,Local,Visayas,Philippines,Active,WordOfMouth,1,0,1,0,0.0,5.45,0.0,0,365.0,165,0,1,1,0,0,1,1,0.0,5.45,5.45,0.0,0,0,0,2,0,1799.25,True,True,False,True,1215.82
13,2023-06-01,2022-03-02,PartnerOrganization,Local,Luzon,Philippines,Active,PartnerReferral,1,0,1,0,0.0,11.39,0.0,0,365.0,140,0,1,1,0,0,1,1,0.0,11.39,11.39,0.0,0,0,0,1,0,1395.79,True,True,False,True,1395.79
12,2023-06-01,2022-02-25,InKindDonor,PartnerOrganization,Mindanao,Philippines,Active,Website,2,1,1,0,683.54,702.61,683.54,61,11.967213114754099,65,0,2,2,0,1,2,2,683.54,702.61,702.61,683.54,0,0,0,1,0,1374.79,True,True,False,True,1374.79
8,2023-06-01,2022-02-05,InKindDonor,Local,Mindanao,Philippines,Active,Church,1,1,0,1,1420.95,1420.95,1420.95,0,365.0,100,0,1,1,1,0,1,1,0.0,1420.95,1420.95,1420.95,1,1,0,3,3,1310.9699999999998,True,False,False,True,538.65
6,2023-06-01,2022-01-26,MonetaryDonor,International,Visayas,USA,Active,WordOfMouth,2,1,1,0,395.88,407.75,395.88,44,16.59090909090909,56,1,2,2,1,1,2,2,395.88,407.75,407.75,395.88,0,1,1,1,0,1038.86,True,True,False,True,1038.86
4,2023-06-01,2022-01-16,MonetaryDonor,PartnerOrganization,Mindanao,Philippines,Active,Church,1,0,1,1,0.0,439.51,0.0,0,365.0,107,0,1,1,1,0,1,1,0.0,439.51,439.51,0.0,1,1,0,2,2,2052.5,True,True,False,True,825.99
3,2023-06-01,2022-01-11,MonetaryDonor,Local,Luzon,Philippines,Active,SocialMedia,3,1,2,3,250.0,559.0699999999999,250.0,123,8.902439024390244,5,0,2,3,0,2,3,3,309.07,559.0699999999999,559.0699999999999,250.0,3,0,0,1,1,460.56,True,False,False,True,460.56
2,2023-06-01,2022-01-06,Volunteer,Local,Mindanao,Philippines,Active,SocialMedia,1,1,0,0,2565.03,2565.03,2565.03,0,365.0,114,0,1,1,0,0,1,1,0.0,2565.03,2565.03,2565.03,0,0,0,2,0,939.39,True,False,False,True,915.05
1,2023-06-01,2022-01-01,SocialMediaAdvocate,Local,Luzon,Philippines,Active,SocialMedia,2,1,1,2,774.61,1381.52,774.61,91,8.021978021978022,6,1,2,2,1,1,2,2,606.91,1381.52,1381.52,774.61,2,1,1,4,4,3611.2799999999997,True,True,False,True,663.94
21,2023-06-01,2022-04-11,SocialMediaAdvocate,PartnerOrganization,Mindanao,Philippines,Active,PartnerReferral,1,0,1,0,0.0,29.54,0.0,0,365.0,17,0,1,1,0,1,1,1,29.54,29.54,29.54,0.0,0,0,0,3,0,1430.43,True,True,False,True,1104.16
35,2023-07-01,2022-06-20,SocialMediaAdvocate,International,Visayas,USA,Active,SocialMedia,1,0,1,0,0.0,315.92,0.0,0,365.0,49,1,1,1,0,1,1,1,315.92,315.92,315.92,0.0,0,0,1,3,0,3981.4,True,True,False,True,1569.56
38,2023-07-01,2022-07-05,PartnerOrganization,PartnerOrganization,Mindanao,Philippines,Active,WordOfMouth,3,1,2,3,1757.44,2823.99,1757.44,131,8.358778625954198,71,1,3,2,1,1,2,3,1757.44,2211.1,2823.99,1757.44,3,1,1,1,1,1032.04,True,False,False,True,1032.04
39,2023-07-01,2022-07-10,InKindDonor,PartnerOrganization,Luzon,Philippines,Active,Event,1,0,1,0,0.0,811.72,0.0,0,365.0,18,1,1,1,0,1,1,1,811.72,811.72,811.72,0.0,0,0,1,1,0,444.97,True,False,False,True,444.97
41,2023-07-01,2022-07-20,SocialMediaAdvocate,Local,Luzon,Philippines,Active,SocialMedia,1,0,1,0,0.0,300.82,0.0,0,365.0,53,1,1,1,0,1,1,1,300.82,300.82,300.82,0.0,0,0,1,2,0,1856.5700000000002,True,True,False,True,1345.15
60,2023-07-01,2022-10-23,InKindDonor,Local,Visayas,Philippines,Inactive,Website,2,2,0,2,1279.1100000000001,1279.1100000000001,639.5550000000001,106,6.886792452830188,4,1,2,1,0,1,2,2,374.1,1279.1100000000001,1279.1100000000001,639.5550000000001,2,0,1,1,1,250.0,True,False,False,True,250.0
54,2023-07-01,2022-09-23,SkillsContributor,Local,Visayas,Philippines,Inactive,Event,7,4,3,7,3008.46,3520.88,752.115,117,21.837606837606838,23,2,4,3,1,3,7,7,2287.13,3520.88,3520.88,752.115,7,1,2,6,6,4313.7,True,True,False,True,1547.99
58,2023-07-01,2022-10-13,SocialMediaAdvocate,Local,Luzon,Philippines,Inactive,WordOfMouth,1,0,1,0,0.0,616.42,0.0,0,365.0,203,0,1,1,0,0,0,1,0.0,0.0,616.42,0.0,0,0,0,2,0,254.01,True,False,False,True,250.0
33,2023-07-01,2022-06-10,InKindDonor,Local,Visayas,Philippines,Active,PartnerReferral,1,0,1,0,0.0,39.15,0.0,0,365.0,6,1,1,1,0,1,1,1,39.15,39.15,39.15,0.0,0,0,1,2,0,1544.09,True,True,False,True,1230.56
51,2023-07-01,2022-09-08,InKindDonor,Local,Luzon,Philippines,Inactive,WordOfMouth,1,1,0,0,1036.3,1036.3,1036.3,0,365.0,81,1,1,1,0,1,1,1,1036.3,1036.3,1036.3,1036.3,0,0,1,1,0,343.6,True,False,False,True,343.6
31,2023-07-01,2022-05-31,MonetaryDonor,Local,Mindanao,Philippines,Active,Website,4,3,1,4,2429.9700000000003,3033.8399999999997,809.9900000000001,54,27.037037037037038,98,1,3,2,1,0,4,4,0.0,3033.8399999999997,3033.8399999999997,809.9900000000001,4,1,1,2,2,1545.26,True,False,False,True,1014.15
45,2023-07-01,2022-08-09,MonetaryDonor,Local,Luzon,Philippines,Active,SocialMedia,2,1,1,2,392.09,397.81,392.09,88,8.295454545454545,25,1,2,2,1,1,2,2,5.72,397.81,397.81,392.09,2,1,1,3,3,3019.9300000000003,True,True,False,True,325.06
27,2023-07-01,2022-05-11,MonetaryDonor,Local,Visayas,Philippines,Active,WordOfMouth,1,0,1,0,0.0,5.45,0.0,0,365.0,196,0,1,1,0,0,0,1,0.0,0.0,5.45,0.0,0,0,0,2,0,1799.25,True,True,False,True,1215.82
2,2023-07-01,2022-01-06,Volunteer,Local,Mindanao,Philippines,Active,SocialMedia,1,1,0,0,2565.03,2565.03,2565.03,0,365.0,145,0,1,1,0,0,1,1,0.0,2565.03,2565.03,2565.03,0,0,0,2,0,939.39,True,False,False,True,915.05
3,2023-07-01,2022-01-11,MonetaryDonor,Local,Luzon,Philippines,Active,SocialMedia,3,1,2,3,250.0,559.0699999999999,250.0,123,8.902439024390244,36,0,2,3,0,1,3,3,9.07,559.0699999999999,559.0699999999999,250.0,3,0,0,1,1,460.56,True,False,False,True,460.56
4,2023-07-01,2022-01-16,MonetaryDonor,PartnerOrganization,Mindanao,Philippines,Active,Church,1,0,1,1,0.0,439.51,0.0,0,365.0,138,0,1,1,1,0,1,1,0.0,439.51,439.51,0.0,1,1,0,2,2,2052.5,True,True,False,True,825.99
29,2023-07-01,2022-05-21,Volunteer,PartnerOrganization,Luzon,Philippines,Active,Event,1,0,1,0,0.0,9.94,0.0,0,365.0,149,0,1,1,0,0,1,1,0.0,9.94,9.94,0.0,0,0,0,2,0,1300.5,True,True,False,True,1000.5
1,2023-07-01,2022-01-01,SocialMediaAdvocate,Local,Luzon,Philippines,Active,SocialMedia,5,2,3,5,1438.5500000000002,2364.6600000000003,719.2750000000001,120,15.208333333333334,8,1,3,3,2,4,5,5,1590.05,2364.6600000000003,2364.6600000000003,719.2750000000001,5,2,1,2,2,4020.24,True,True,False,True,2628.14
9,2023-07-01,2022-02-10,Volunteer,Local,Luzon,Philippines,Active,PartnerReferral,1,0,1,0,0.0,11.61,0.0,0,365.0,135,0,1,1,1,0,1,1,0.0,11.61,11.61,0.0,0,1,0,1,0,2496.61,True,True,False,True,2496.61
13,2023-07-01,2022-03-02,PartnerOrganization,Local,Luzon,Philippines,Active,PartnerReferral,1,0,1,0,0.0,11.39,0.0,0,365.0,171,0,1,1,0,0,1,1,0.0,11.39,11.39,0.0,0,0,0,1,0,1395.79,True,True,False,True,1395.79
19,2023-07-01,2022-04-01,Volunteer,Local,Luzon,Philippines,Active,SocialMedia,2,1,1,0,349.66,353.81,349.66,100,7.3,99,1,2,2,0,0,1,2,0.0,4.15,353.81,349.66,0,0,1,2,0,1367.79,True,True,False,True,1337.07
